"date","n","total","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"1789",4808,8459693,0.000568342137238313,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221789%22%20and%20gallicapublication_date%3C=%221789%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1790",9409,14441429,0.000651528321747107,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221790%22%20and%20gallicapublication_date%3C=%221790%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1791",18233,25584215,0.000712665993465111,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221791%22%20and%20gallicapublication_date%3C=%221791%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1792",21823,23444233,0.000930847257830956,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221792%22%20and%20gallicapublication_date%3C=%221792%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1793",22798,23189202,0.000983129993002778,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221793%22%20and%20gallicapublication_date%3C=%221793%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1794",24202,20380661,0.00118749828575236,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221794%22%20and%20gallicapublication_date%3C=%221794%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1795",10147,15320871,0.000662299160406742,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221795%22%20and%20gallicapublication_date%3C=%221795%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1796",9275,17933586,0.00051718602180289,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221796%22%20and%20gallicapublication_date%3C=%221796%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1797",12271,20471405,0.000599421485726065,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221797%22%20and%20gallicapublication_date%3C=%221797%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1798",10808,20479823,0.000527738936024984,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221798%22%20and%20gallicapublication_date%3C=%221798%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1799",8627,16025362,0.000538334173043954,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221799%22%20and%20gallicapublication_date%3C=%221799%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1800",3545,13240275,0.000267743683571527,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221800%22%20and%20gallicapublication_date%3C=%221800%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1801",2723,14802709,0.000183952815663673,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221801%22%20and%20gallicapublication_date%3C=%221801%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1802",2994,17998902,0.000166343480285631,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221802%22%20and%20gallicapublication_date%3C=%221802%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1803",2104,16722086,0.000125821622972158,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221803%22%20and%20gallicapublication_date%3C=%221803%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1804",2524,17979646,0.000140380961894355,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221804%22%20and%20gallicapublication_date%3C=%221804%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1805",1243,15753420,7.89035015888613e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221805%22%20and%20gallicapublication_date%3C=%221805%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1806",1340,16199677,8.27176986306579e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221806%22%20and%20gallicapublication_date%3C=%221806%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1807",1318,16274391,8.09861333674483e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221807%22%20and%20gallicapublication_date%3C=%221807%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1808",1161,13923111,8.33865362417925e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221808%22%20and%20gallicapublication_date%3C=%221808%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1809",1117,15860645,7.04258874717894e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221809%22%20and%20gallicapublication_date%3C=%221809%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1810",1118,15274487,7.31939475283196e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221810%22%20and%20gallicapublication_date%3C=%221810%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1811",856,14379227,5.95303210666331e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221811%22%20and%20gallicapublication_date%3C=%221811%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1812",1010,13343552,7.56919896591252e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221812%22%20and%20gallicapublication_date%3C=%221812%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1813",706,13466995,5.24244644035288e-05,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221813%22%20and%20gallicapublication_date%3C=%221813%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1814",3583,12837262,0.000279109361482223,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221814%22%20and%20gallicapublication_date%3C=%221814%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1815",3948,14107728,0.000279846620235377,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221815%22%20and%20gallicapublication_date%3C=%221815%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1816",2602,15692881,0.000165807667820842,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221816%22%20and%20gallicapublication_date%3C=%221816%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1817",4940,15512112,0.000318460825966187,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221817%22%20and%20gallicapublication_date%3C=%221817%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1818",4466,17315521,0.000257918892535778,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221818%22%20and%20gallicapublication_date%3C=%221818%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1819",9722,23124376,0.00042042215539135,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221819%22%20and%20gallicapublication_date%3C=%221819%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1820",11207,29558957,0.000379140576577178,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221820%22%20and%20gallicapublication_date%3C=%221820%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1821",10114,35540924,0.000284573355492952,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221821%22%20and%20gallicapublication_date%3C=%221821%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1822",12401,38408882,0.000322868028285749,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221822%22%20and%20gallicapublication_date%3C=%221822%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1823",8408,36767425,0.000228680686776406,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221823%22%20and%20gallicapublication_date%3C=%221823%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1824",6835,33927976,0.000201456167028649,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221824%22%20and%20gallicapublication_date%3C=%221824%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1825",6083,32558609,0.000186832306011599,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221825%22%20and%20gallicapublication_date%3C=%221825%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1826",9669,39697194,0.00024356885275065,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221826%22%20and%20gallicapublication_date%3C=%221826%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1827",8765,36653052,0.000239134247265412,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221827%22%20and%20gallicapublication_date%3C=%221827%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
"1828",12231,49787362,0.000245664753235972,"liberté","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=true&maximumRecords=20&startRecord=0&collapsing=false&version=1.2&query=(dc.language%20all%20%22fre%22)%20and%20(text%20adj%20%22liberté%22%20)%20%20and%20(dc.type%20all%20%22fascicule%22)%20and%20(ocr.quality%20all%20%22Texte%20disponible%22)%20and%20(gallicapublication_date%3E=%221828%22%20and%20gallicapublication_date%3C=%221828%22)&suggest=10&keywords=liberté","Année","Presse","Français","Gallica","N-gramme"
